Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Substance
197,448,367,615,7324,16313,1000,1110,45190,1241,7568,795,1891,1257,881,514,11236,3453,Table Salt
197,448,366,614,7306,16288,1001,1109,45228,1241,7581,795,1892,1257,881,513,11234,3456,Table Salt
197,448,366,613,7292,16266,1001,1110,45266,1242,7594,796,1893,1259,882,514,11235,3460,Table Salt
197,448,366,612,7277,16249,1001,1110,45295,1242,7602,796,1894,1259,882,514,11235,3463,Table Salt
197,448,366,611,7263,16231,1001,1110,45336,1242,7614,796,1895,1259,882,514,11236,3467,Table Salt
197,448,365,611,7247,16213,1000,1109,45320,1242,7616,796,1894,1258,881,513,11235,3469,Table Salt
197,448,365,610,7235,16195,1001,1109,45394,1242,7632,796,1897,1260,882,514,11233,3472,Table Salt
197,447,365,610,7223,16179,1001,1110,45410,1242,7638,796,1898,1260,883,514,11232,3474,Table Salt
197,447,365,609,7212,16165,1001,1109,45441,1242,7647,796,1899,1260,883,514,11233,3477,Table Salt
197,447,365,608,7200,16147,1001,1109,45474,1241,7657,796,1900,1261,883,514,11230,3478,Table Salt
196,447,365,607,7188,16131,1001,1109,45477,1242,7659,796,1899,1261,883,514,11228,3480,Table Salt
196,447,365,607,7178,16117,1001,1109,45472,1241,7662,796,1899,1261,882,514,11226,3482,Table Salt
196,447,364,607,7169,16107,1002,1110,45520,1241,7674,797,1901,1262,883,514,11226,3484,Table Salt
201,408,362,537,6276,12751,599,802,31002,698,4576,436,849,772,773,513,7749,2433,Yam Flour
201,408,362,536,6253,12723,599,801,31064,698,4591,436,849,771,772,513,7749,2437,Yam Flour
200,408,362,535,6233,12697,598,800,31099,698,4601,436,848,769,770,512,7748,2441,Yam Flour
200,407,361,534,6214,12677,598,800,31178,698,4617,436,849,768,770,512,7748,2444,Yam Flour
200,407,361,533,6199,12655,598,800,31219,698,4626,436,848,767,769,511,7748,2447,Yam Flour
200,407,361,532,6182,12637,597,800,31245,697,4633,436,848,766,767,510,7748,2450,Yam Flour
200,407,360,532,6166,12617,597,799,31311,697,4645,436,848,766,767,510,7745,2452,Yam Flour
200,407,360,531,6150,12598,596,798,31352,697,4654,436,849,765,766,510,7743,2454,Yam Flour
200,407,360,530,6135,12579,596,798,31356,697,4658,436,848,763,765,509,7741,2456,Yam Flour
200,406,360,529,6122,12563,596,798,31406,697,4668,435,848,763,765,508,7740,2458,Yam Flour
199,406,359,529,6110,12549,595,797,31424,697,4672,435,848,762,763,507,7738,2460,Yam Flour
199,406,358,528,6099,12534,596,797,31441,696,4676,435,847,761,762,507,7730,2462,Yam Flour
198,406,358,527,6089,12521,595,797,31460,696,4682,435,847,760,762,506,7735,2463,Yam Flour
198,406,358,527,6079,12509,595,797,31510,696,4691,435,847,760,761,506,7735,2464,Yam Flour
198,406,358,527,6070,12497,595,797,31539,696,4697,435,847,759,761,506,7736,2466,Yam Flour
197,406,357,522,5991,12415,587,789,31905,692,4753,433,837,733,736,491,7696,2469,Yam Flour
197,406,356,522,5976,12395,587,789,31921,692,4761,433,837,733,736,490,7697,2473,Yam Flour
197,406,356,521,5962,12378,587,789,31972,692,4773,433,838,733,736,490,7697,2475,Yam Flour
197,406,356,521,5948,12361,587,789,32014,692,4783,433,838,733,736,491,7697,2478,Yam Flour
197,406,356,520,5937,12347,587,789,32040,692,4791,433,838,733,736,491,7696,2480,Yam Flour
197,406,355,519,5926,12334,587,789,32011,692,4790,433,838,732,735,490,7694,2482,Yam Flour
197,406,355,519,5918,12323,586,789,32022,691,4794,432,838,732,734,490,7693,2483,Yam Flour
197,405,355,518,5909,12312,587,788,32071,692,4803,432,839,732,734,490,7692,2485,Yam Flour
197,405,355,518,5900,12301,587,788,32096,692,4810,432,839,732,734,490,7690,2486,Yam Flour
197,405,355,517,5893,12291,587,788,32096,691,4812,432,839,731,734,489,7690,2487,Yam Flour
197,405,354,517,5885,12281,586,788,32130,691,4819,432,839,732,734,489,7689,2487,Yam Flour
197,405,354,517,5879,12274,586,788,32131,691,4821,432,839,731,733,489,7687,2488,Yam Flour
196,405,354,516,5872,12263,586,788,32155,691,4826,432,839,731,733,489,7686,2489,Yam Flour
196,405,353,516,5865,12256,586,788,32167,691,4829,432,839,731,733,489,7685,2490,Yam Flour
196,405,353,516,5859,12249,586,787,32145,691,4827,432,839,730,732,488,7684,2491,Yam Flour
144,256,217,366,3382,7120,759,688,27094,783,12611,401,5785,4317,2370,1018,4747,1786,Paracetamol
143,256,217,365,3370,7104,760,688,27157,783,12641,401,5793,4323,2373,1019,4748,1789,Paracetamol
143,256,217,365,3359,7091,760,688,27184,783,12654,401,5797,4325,2374,1019,4749,1792,Paracetamol
143,256,216,364,3348,7078,760,688,27215,783,12668,401,5798,4326,2374,1019,4749,1794,Paracetamol
143,256,216,363,3339,7070,761,689,27292,784,12702,402,5810,4334,2378,1021,4750,1797,Paracetamol
143,256,216,363,3331,7057,761,689,27306,784,12711,402,5811,4334,2378,1021,4750,1799,Paracetamol
143,256,216,362,3322,7047,762,689,27355,784,12735,402,5819,4339,2381,1022,4750,1800,Paracetamol
143,256,216,362,3314,7039,762,689,27380,784,12745,402,5820,4340,2381,1022,4751,1802,Paracetamol
143,256,216,361,3307,7030,763,689,27417,784,12763,402,5826,4344,2383,1023,4750,1804,Paracetamol
143,256,216,361,3300,7022,763,689,27437,784,12772,402,5828,4344,2383,1023,4751,1806,Paracetamol
143,256,216,361,3294,7014,762,689,27433,784,12770,402,5824,4342,2382,1022,4751,1808,Paracetamol
143,256,215,361,3288,7006,763,689,27492,784,12796,403,5833,4348,2385,1024,4751,1809,Paracetamol
143,256,215,360,3282,6999,763,689,27514,784,12806,403,5835,4349,2386,1023,4750,1810,Paracetamol
143,256,215,360,3276,6993,763,689,27509,784,12804,403,5828,4347,2383,1023,4750,1812,Paracetamol
143,256,215,360,3270,6986,762,688,27505,783,12802,402,5827,4345,2382,1023,4749,1812,Paracetamol
143,257,216,362,3310,7035,761,689,27463,783,12764,402,5821,4337,2379,1021,4747,1801,Paracetamol
143,256,216,361,3300,7022,763,689,27509,783,12786,402,5825,4341,2381,1022,4749,1805,Paracetamol
143,256,216,361,3290,7010,763,689,27550,783,12806,403,5830,4344,2382,1022,4750,1807,Paracetamol
143,256,215,360,3282,6999,763,689,27573,784,12817,403,5833,4346,2383,1023,4750,1809,Paracetamol
143,256,215,360,3274,6990,763,689,27589,783,12826,403,5834,4347,2384,1023,4750,1811,Paracetamol
143,256,215,359,3267,6982,762,689,27577,783,12821,403,5830,4343,2382,1022,4751,1813,Paracetamol
143,256,215,358,3260,6973,762,689,27600,783,12833,403,5830,4345,2382,1022,4750,1814,Paracetamol
143,256,215,358,3253,6964,762,689,27621,783,12844,403,5831,4344,2383,1022,4749,1815,Paracetamol
143,256,215,358,3247,6956,763,688,27663,783,12864,403,5840,4351,2385,1023,4749,1817,Paracetamol
143,256,215,357,3242,6949,763,688,27655,783,12860,403,5836,4348,2384,1022,4749,1818,Paracetamol
143,256,215,357,3237,6942,764,689,27699,784,12881,403,5843,4353,2387,1023,4748,1819,Paracetamol
143,256,215,357,3232,6936,764,689,27707,783,12886,403,5840,4353,2386,1023,4748,1820,Paracetamol
143,256,215,357,3228,6931,764,689,27729,783,12897,403,5846,4355,2388,1023,4748,1821,Paracetamol
143,256,215,356,3224,6926,764,689,27749,783,12908,403,5847,4357,2388,1024,4748,1822,Paracetamol
143,256,214,356,3220,6921,763,689,27735,783,12900,403,5844,4353,2387,1023,4748,1823,Paracetamol
88,196,149,247,4030,7507,186,298,763,286,195,207,116,80,102,83,4481,1115,Fresh Tomato
88,196,149,247,4029,7506,186,298,752,287,194,207,116,80,102,82,4489,1118,Fresh Tomato
88,196,149,246,4028,7504,186,298,746,287,193,207,116,80,102,82,4496,1120,Fresh Tomato
88,196,149,246,4029,7502,187,299,743,287,193,208,116,79,101,82,4503,1123,Fresh Tomato
88,196,149,246,4024,7499,187,299,737,287,192,208,116,78,101,82,4509,1125,Fresh Tomato
88,196,149,246,4017,7495,187,299,733,287,192,208,115,78,101,82,4513,1127,Fresh Tomato
